Vehicle_ID,Route_Order,Destination,Order_Number,Box_ID,Stacking_Order,Lower_Left_X,Lower_Left_Y,Lower_Left_Z,Longitude,Latitude,Box_Width,Box_Length,Box_Height,Volume
0,1,Depot,,,,,,,,,,,,
0,2,D_00044,61,B_00061,65,80.0,110.0,140.0,129.073941,35.178325,30,50,40,60000
0,3,D_00013,20,B_00020,64,50.0,130.0,140.0,129.068896,35.176189,30,40,30,36000
0,4,D_00014,21,B_00021,63,110.0,130.0,100.0,129.060913,35.161701,30,50,40,60000
0,5,D_00014,22,B_00022,62,80.0,180.0,90.0,129.060913,35.161701,30,50,40,60000
0,6,D_00043,60,B_00060,61,50.0,180.0,110.0,129.058861,35.160872,30,40,30,36000
0,7,D_00016,24,B_00024,60,0.0,180.0,130.0,129.048426,35.158583,50,60,50,150000
0,8,D_00034,47,B_00047,59,130.0,170.0,60.0,129.050019,35.148393,30,50,40,60000
0,9,D_00042,59,B_00059,58,50.0,180.0,80.0,129.04369,35.156398,30,40,30,36000
0,10,D_00048,66,B_00066,57,0.0,180.0,80.0,129.03575,35.155222,50,60,50,150000
0,11,D_00027,38,B_00038,56,130.0,170.0,30.0,129.033166,35.154793,30,40,30,36000
0,12,D_00003,4,B_00004,55,80.0,170.0,40.0,129.026275,35.152292,50,60,50,150000
0,13,D_00041,58,B_00058,54,30.0,170.0,50.0,129.018715,35.148984,30,40,30,36000
0,14,D_00037,51,B_00051,53,0.0,170.0,50.0,129.018029,35.150288,30,40,30,36000
0,15,D_00140,205,B_00205,52,110.0,170.0,0.0,128.960249,35.113108,30,40,30,36000
0,16,D_00164,239,B_00239,51,80.0,170.0,0.0,128.96643,35.111698,30,50,40,60000
0,17,D_00146,213,B_00213,50,50.0,180.0,0.0,128.966086,35.105796,30,40,30,36000
0,18,D_00148,216,B_00216,49,0.0,180.0,0.0,128.977608,35.108904,50,60,50,150000
0,19,D_00160,233,B_00233,48,50.0,90.0,140.0,128.978889,35.108731,30,40,30,36000
0,20,D_00150,218,B_00218,47,0.0,120.0,120.0,128.975196,35.107139,50,60,50,150000
0,21,D_00145,212,B_00212,46,110.0,90.0,80.0,128.976182,35.102452,30,40,30,36000
0,22,D_00166,242,B_00242,45,60.0,120.0,90.0,128.9752,35.103794,50,60,50,150000
0,23,D_00137,200,B_00200,44,30.0,120.0,90.0,128.974766,35.093179,30,40,30,36000
0,24,D_00153,222,B_00222,43,0.0,120.0,80.0,128.979576,35.091869,30,50,40,60000
0,25,D_00147,215,B_00215,42,120.0,120.0,40.0,128.979239,35.091169,30,50,40,60000
0,26,D_00153,221,B_00221,41,90.0,120.0,40.0,128.979576,35.091869,30,50,40,60000
0,27,D_00147,214,B_00214,40,60.0,120.0,50.0,128.979239,35.091169,30,50,40,60000
0,28,D_00165,241,B_00241,39,30.0,120.0,50.0,128.985987,35.082362,30,50,40,60000
0,29,D_00165,240,B_00240,38,0.0,120.0,40.0,128.985987,35.082362,30,50,40,60000
0,30,D_00157,229,B_00229,37,110.0,120.0,0.0,128.982967,35.071056,30,50,40,60000
0,31,D_00143,208,B_00208,36,80.0,120.0,0.0,128.955506,35.075151,30,50,40,60000
0,32,D_00143,209,B_00209,35,30.0,120.0,0.0,128.955506,35.075151,50,60,50,150000
0,33,D_00138,202,B_00202,34,0.0,120.0,0.0,128.968961,35.086393,30,50,40,60000
0,34,D_00138,201,B_00201,33,100.0,60.0,150.0,128.968961,35.086393,30,50,40,60000
0,35,D_00142,207,B_00207,32,130.0,60.0,110.0,128.95993,35.098075,30,40,30,36000
0,36,D_00136,199,B_00199,31,100.0,60.0,110.0,128.965447,35.101835,30,50,40,60000
0,37,D_00136,198,B_00198,30,70.0,50.0,150.0,128.965447,35.101835,30,40,30,36000
0,38,D_00163,238,B_00238,29,40.0,50.0,150.0,128.961939,35.106605,30,40,30,36000
0,39,D_00155,225,B_00225,28,0.0,50.0,150.0,128.948085,35.109454,30,50,40,60000
0,40,D_00155,226,B_00226,27,130.0,50.0,80.0,128.948085,35.109454,30,40,30,36000
0,41,D_00161,234,B_00234,26,130.0,50.0,50.0,128.969823,35.104577,30,40,30,36000
0,42,D_00161,235,B_00235,25,100.0,50.0,80.0,128.969823,35.104577,30,40,30,36000
0,43,D_00139,203,B_00203,24,50.0,60.0,80.0,128.983776,35.10368,50,60,50,150000
0,44,D_00139,204,B_00204,23,0.0,60.0,100.0,128.983776,35.10368,50,60,50,150000
0,45,D_00162,236,B_00236,22,130.0,60.0,0.0,128.990077,35.101393,30,50,40,60000
0,46,D_00154,224,B_00224,21,80.0,60.0,30.0,128.991209,35.101591,50,60,50,150000
0,47,D_00162,237,B_00237,20,50.0,60.0,40.0,128.990077,35.101393,30,40,30,36000
0,48,D_00154,223,B_00223,19,0.0,60.0,50.0,128.991209,35.101591,50,60,50,150000
0,49,D_00141,206,B_00206,18,130.0,0.0,90.0,128.991402,35.097605,30,40,30,36000
0,50,D_00152,220,B_00220,17,80.0,50.0,0.0,128.997646,35.091551,30,40,30,36000
0,51,D_00156,227,B_00227,16,50.0,60.0,0.0,129.007361,35.085197,30,50,40,60000
0,52,D_00156,228,B_00228,15,40.0,0.0,150.0,129.007361,35.085197,30,50,40,60000
0,53,D_00144,210,B_00210,14,0.0,60.0,0.0,129.008902,35.096334,50,60,50,150000
0,54,D_00144,211,B_00211,13,100.0,0.0,120.0,129.008902,35.096334,50,60,50,150000
